sequenceID	Genotype
ON022737	SouthAmerica1
ON022738	SouthAmerica1
ON022739	SouthAmerica1
ON022740	SouthAmerica1
ON022741	SouthAmerica1
ON022742	SouthAmerica1
ON022743	SouthAmerica1
ON022744	SouthAmerica1
ON022745	SouthAmerica1
ON022746	SouthAmerica1
ON323052	WestAfrica
ON323053	WestAfrica
ON323054	WestAfrica
ON402371	WestAfrica
ON502389	SouthAmerica1
ON502390	SouthAmerica1
ON502391	SouthAmerica1
ON502392	SouthAmerica1
ON502393	SouthAmerica1
ON502394	SouthAmerica1
ON502395	SouthAmerica1
ON502396	SouthAmerica1
ON502397	SouthAmerica1
ON502398	SouthAmerica1
ON502399	SouthAmerica1
ON502400	SouthAmerica1
ON502401	SouthAmerica1
ON502402	SouthAmerica1
ON502403	SouthAmerica1
ON502404	SouthAmerica1
ON502405	SouthAmerica1
ON502406	SouthAmerica1
ON502407	SouthAmerica1
ON502408	SouthAmerica1
ON502409	SouthAmerica1
ON502410	SouthAmerica1
ON502411	SouthAmerica1
ON502412	SouthAmerica1
ON502413	SouthAmerica1
ON502414	SouthAmerica1
ON502415	SouthAmerica1
ON502416	SouthAmerica1
ON502417	SouthAmerica1
ON502418	SouthAmerica1
ON502419	SouthAmerica1
ON502420	SouthAmerica1
ON502421	SouthAmerica1
ON502423	SouthAmerica1
ON502424	SouthAmerica1
ON502425	SouthAmerica1
ON502426	SouthAmerica1
ON502427	SouthAmerica1
ON502428	SouthAmerica1
ON502429	SouthAmerica1
ON502430	SouthAmerica1
ON502431	SouthAmerica1
ON502432	SouthAmerica1
ON502433	SouthAmerica1
ON502434	SouthAmerica1
ON502435	SouthAmerica1
ON502436	SouthAmerica1
ON502437	SouthAmerica1
ON502438	SouthAmerica1
ON502439	SouthAmerica1
ON502440	SouthAmerica1
ON502441	SouthAmerica1
ON502442	SouthAmerica1
OP508570	SouthAmerica1
OP508571	SouthAmerica1
OP508572	SouthAmerica1
OP508573	SouthAmerica1
OP508574	SouthAmerica1
OP508575	SouthAmerica1
OP508576	SouthAmerica1
OP508577	SouthAmerica1
OP508578	SouthAmerica1
OP508579	SouthAmerica1
OP508580	SouthAmerica1
OP508581	SouthAmerica1
OP508582	SouthAmerica1
OP508583	SouthAmerica1
OP508584	SouthAmerica1
OP508585	SouthAmerica1
OP508586	SouthAmerica1
OP508587	SouthAmerica1
OP508588	SouthAmerica1
OP508589	SouthAmerica1
OP508590	SouthAmerica1
OP508591	SouthAmerica1
OP508592	SouthAmerica1
OP508593	SouthAmerica1
OP508594	SouthAmerica1
OP508595	SouthAmerica1
OP508596	SouthAmerica1
OP508597	SouthAmerica1
OP508598	SouthAmerica1
OP508599	SouthAmerica1
OP508600	SouthAmerica1
OP508601	SouthAmerica1
OP508602	SouthAmerica1
OP508603	SouthAmerica1
OP508604	SouthAmerica1
OP508605	SouthAmerica1
OP508606	SouthAmerica1
OP508607	SouthAmerica1
OP508608	SouthAmerica1
OP508609	SouthAmerica1
OP508610	SouthAmerica1
OP508611	SouthAmerica1
OP508612	SouthAmerica1
OP508613	SouthAmerica1
OP508614	SouthAmerica1
OP508615	SouthAmerica1
OP508616	SouthAmerica1
OP508617	SouthAmerica1
OP508618	SouthAmerica1
OP508619	SouthAmerica1
OP508620	SouthAmerica1
OP508621	SouthAmerica1
OP508622	SouthAmerica1
OP508623	SouthAmerica1
OP508624	SouthAmerica1
OP508625	SouthAmerica1
OP508626	SouthAmerica1
OP508627	SouthAmerica1
OP508628	SouthAmerica1
OP508629	SouthAmerica1
OP508630	SouthAmerica1
OP508631	SouthAmerica1
OP508632	SouthAmerica1
OP508633	SouthAmerica1
OP508634	SouthAmerica1
OP508635	SouthAmerica1
OP508636	SouthAmerica1
OP508637	SouthAmerica1
OP508638	SouthAmerica1
OP508639	SouthAmerica1
OP508640	SouthAmerica1
OP508641	SouthAmerica1
OP508642	SouthAmerica1
OP508643	SouthAmerica1
OP508644	SouthAmerica1
OP508645	SouthAmerica1
OP508646	SouthAmerica1
OP508647	SouthAmerica1
OP508648	SouthAmerica1
OP508649	SouthAmerica1
OP508650	SouthAmerica1
OP508651	SouthAmerica1
OP508652	SouthAmerica1
OP508653	SouthAmerica1
OP508654	SouthAmerica1
OP508655	SouthAmerica1
OP508656	SouthAmerica1
OP508657	SouthAmerica1
OP508658	SouthAmerica1
OP508659	SouthAmerica1
OP508660	SouthAmerica1
OP508661	SouthAmerica1
OP508662	SouthAmerica1
OP508663	SouthAmerica1
OP508664	SouthAmerica1
OP508665	SouthAmerica1
OP508666	SouthAmerica1
OP508667	SouthAmerica1
OP508668	SouthAmerica1
OP508669	SouthAmerica1
OP508670	SouthAmerica1
OP508671	SouthAmerica1
OP508672	SouthAmerica1
OP508673	SouthAmerica1
OP508674	SouthAmerica1
OP508675	SouthAmerica1
OP508676	SouthAmerica1
OP508677	SouthAmerica1
OP508678	SouthAmerica1
OP508679	SouthAmerica1
OP508680	SouthAmerica1
OP508681	SouthAmerica1
OP508682	SouthAmerica1
OP508683	SouthAmerica1
OP508684	SouthAmerica1
OP508685	SouthAmerica1
OP508686	SouthAmerica1
OP508687	SouthAmerica1
OP508688	SouthAmerica1
OP508689	SouthAmerica1
OP508690	SouthAmerica1
OP508691	SouthAmerica1
OP508692	SouthAmerica1
OP508693	SouthAmerica1
OP508694	SouthAmerica1
OP508695	SouthAmerica1
OP508696	SouthAmerica1
OP508697	SouthAmerica1
OP508698	SouthAmerica1
OP508699	SouthAmerica1
OP508700	SouthAmerica1
OP508701	SouthAmerica1
OP508702	SouthAmerica1
OP508703	SouthAmerica1
OP508704	SouthAmerica1
OP508705	SouthAmerica1
OP508706	SouthAmerica1
OP508707	SouthAmerica1
OP508708	SouthAmerica1
OP508709	SouthAmerica1
OP508710	SouthAmerica1
OP508711	SouthAmerica1
OP508712	SouthAmerica1
OP508713	SouthAmerica1
OP508714	SouthAmerica1
OP508715	SouthAmerica1
OP508716	SouthAmerica1
OP796361	WestAfrica
OQ077983	EastAfrica
OQ572695	SouthAmerica1
OQ572696	SouthAmerica1
OQ675592	SouthAmerica1
OQ932914	SouthAmerica1
OQ932915	SouthAmerica1
OR052147	SouthAmerica1
OR075001	WestAfrica
OR075002	WestAfrica
U17066	WestAfrica
U17067	WestAfrica
U21055	WestAfrica
U21056	WestAfrica
X03700	WestAfrica
X15062	WestAfrica
AF013417	SouthAmerica1
AF052440	WestAfrica
AF052441	WestAfrica
AF052442	WestAfrica
AF052443	WestAfrica
AF052447	WestAfrica
AF052448	WestAfrica
AF121952	SouthAmerica1
AF162449	-
AF162450	-
AF162451	SouthAmerica2
AF162452	SouthAmerica2
AF312554	-
AF369669	EastAfrica
AF369670	WestAfrica
AF369671	WestAfrica
AF369672	EastAfrica
AF369673	EastAfrica
AF369674	EastAfrica
AF369675	EastAfrica
AF369676	-
AF369677	WestAfrica
AF369678	WestAfrica
AF369679	WestAfrica
AF369680	WestAfrica
AF369681	WestAfrica
AF369682	WestAfrica
AF369683	WestAfrica
AF369684	WestAfrica
AF369685	WestAfrica
AF369686	WestAfrica
AF369687	WestAfrica
AF369688	WestAfrica
AF369689	WestAfrica
AF369690	WestAfrica
AF369691	WestAfrica
AF369692	EastAfrica
AF369693	EastAfrica
AF369694	EastAfrica
AF369695	EastAfrica
AF369696	EastAfrica
AF369697	EastAfrica
AH005112	WestAfrica
AY161927	SouthAmerica2
AY161928	SouthAmerica2
AY161929	SouthAmerica2
AY161930	SouthAmerica2
AY161931	SouthAmerica2
AY161932	SouthAmerica2
AY161933	SouthAmerica2
AY161934	SouthAmerica2
AY161935	SouthAmerica2
AY161936	-
AY161937	-
AY161938	SouthAmerica2
AY161939	SouthAmerica2
AY161940	SouthAmerica2
AY161941	SouthAmerica2
AY161942	SouthAmerica2
AY161943	SouthAmerica2
AY161944	SouthAmerica2
AY161945	SouthAmerica2
AY161946	SouthAmerica2
AY161947	SouthAmerica2
AY161948	SouthAmerica2
AY161949	SouthAmerica2
AY161950	SouthAmerica2
AY161951	SouthAmerica2
AY326416	-
AY326418	-
AY359907	WestAfrica
AY359908	WestAfrica
AY359909	WestAfrica
AY437135	SouthAmerica1
AY495558	WestAfrica
AY495559	WestAfrica
AY495560	WestAfrica
AY495561	WestAfrica
AY495562	WestAfrica
AY495563	WestAfrica
AY495564	WestAfrica
AY495565	WestAfrica
AY495566	WestAfrica
AY495567	WestAfrica
AY495568	WestAfrica
AY495569	WestAfrica
AY495570	WestAfrica
AY495571	WestAfrica
AY495572	WestAfrica
AY495573	WestAfrica
AY495574	WestAfrica
AY498854	-
AY502949	WestAfrica
AY540431	SouthAmerica2
AY540432	SouthAmerica2
AY540433	SouthAmerica2
AY540434	SouthAmerica2
AY540435	SouthAmerica2
AY540436	SouthAmerica1
AY540437	-
AY540438	-
AY540439	-
AY540440	-
AY540441	-
AY540442	-
AY540443	-
AY540444	SouthAmerica1
AY540445	-
AY540446	SouthAmerica2
AY540447	-
AY540448	-
AY540449	SouthAmerica1
AY540450	SouthAmerica1
AY540451	SouthAmerica1
AY540452	SouthAmerica1
AY540453	SouthAmerica1
AY540454	SouthAmerica1
AY540455	SouthAmerica1
AY540456	SouthAmerica1
AY540457	SouthAmerica2
AY540458	SouthAmerica1
AY540459	SouthAmerica1
AY540460	SouthAmerica1
AY540461	SouthAmerica1
AY540462	SouthAmerica1
AY540463	SouthAmerica1
AY540464	SouthAmerica1
AY540465	SouthAmerica1
AY540466	SouthAmerica1
AY540467	SouthAmerica1
AY540468	SouthAmerica1
AY540469	SouthAmerica1
AY540470	SouthAmerica1
AY540471	SouthAmerica1
AY540472	SouthAmerica1
AY540473	SouthAmerica1
AY540474	SouthAmerica1
AY540475	SouthAmerica1
AY540476	SouthAmerica1
AY540477	SouthAmerica1
AY540478	SouthAmerica2
AY540479	SouthAmerica1
AY540480	SouthAmerica1
AY540481	SouthAmerica1
AY540482	SouthAmerica1
AY540483	SouthAmerica1
AY540484	SouthAmerica1
AY540485	SouthAmerica1
AY540486	SouthAmerica1
AY540487	SouthAmerica1
AY540488	SouthAmerica1
AY540489	SouthAmerica1
AY540490	SouthAmerica1
AY541326	-
AY541327	SouthAmerica2
AY541328	SouthAmerica1
AY541329	SouthAmerica1
AY541330	SouthAmerica1
AY541331	SouthAmerica1
AY541332	SouthAmerica1
AY541333	-
AY541334	SouthAmerica1
AY541335	SouthAmerica1
AY541336	-
AY541337	-
AY541338	-
AY541339	-
AY541340	-
AY541341	-
AY541342	-
AY541343	SouthAmerica1
AY541344	SouthAmerica1
AY541345	-
AY541346	-
AY541347	SouthAmerica1
AY541348	SouthAmerica1
AY541349	SouthAmerica1
AY541350	SouthAmerica1
AY541351	SouthAmerica1
AY541352	SouthAmerica1
AY541353	-
AY541354	SouthAmerica1
AY541355	SouthAmerica1
AY541356	SouthAmerica1
AY541357	-
AY541358	SouthAmerica1
AY541359	SouthAmerica1
AY541360	SouthAmerica1
AY541361	SouthAmerica1
AY541362	SouthAmerica1
AY541363	SouthAmerica1
AY541364	SouthAmerica1
AY541365	SouthAmerica1
AY541366	SouthAmerica1
AY541367	SouthAmerica1
AY541368	SouthAmerica1
AY541369	SouthAmerica1
AY541370	SouthAmerica1
AY541371	SouthAmerica1
AY541372	SouthAmerica1
AY541373	SouthAmerica1
AY541374	SouthAmerica1
AY541375	SouthAmerica1
AY541376	-
AY541377	-
AY541378	-
AY541379	-
AY541380	-
AY541381	SouthAmerica1
AY541382	-
AY541383	-
AY541384	-
AY541385	SouthAmerica1
AY541386	-
AY541387	-
AY541388	SouthAmerica1
AY541390	SouthAmerica1
AY541391	SouthAmerica1
AY541392	SouthAmerica1
AY541393	-
AY541394	SouthAmerica1
AY541395	SouthAmerica1
AY541396	SouthAmerica1
AY541397	SouthAmerica1
AY541398	SouthAmerica1
AY541399	SouthAmerica1
AY541400	SouthAmerica1
AY541401	SouthAmerica1
AY541402	WestAfrica
AY541403	SouthAmerica1
AY541404	SouthAmerica1
AY541405	SouthAmerica1
AY541406	-
AY541407	EastAfrica
AY541408	-
AY541409	WestAfrica
AY541410	WestAfrica
AY541411	WestAfrica
AY541412	-
AY541413	-
AY541414	SouthAmerica2
AY541415	SouthAmerica2
AY541416	-
AY541417	-
AY541418	SouthAmerica2
AY541419	-
AY541420	SouthAmerica2
AY541421	-
AY541422	-
AY541423	-
AY541424	SouthAmerica2
AY541425	-
AY541426	-
AY541427	SouthAmerica2
AY541428	SouthAmerica2
AY541429	-
AY541430	SouthAmerica2
AY541431	SouthAmerica2
AY541432	SouthAmerica2
AY541433	-
AY541434	SouthAmerica2
AY541435	-
AY541436	SouthAmerica1
AY541437	-
AY541438	-
AY541439	SouthAmerica1
AY541440	EastAfrica
AY541441	SouthAmerica1
AY541442	SouthAmerica1
AY541443	-
AY541444	-
AY541445	EastAfrica
AY566272	-
AY690831	-
AY690832	-
AY690833	-
AY839631	EastAfrica
AY839632	WestAfrica
AY839633	EastAfrica
AY839634	EastAfrica
AY839635	WestAfrica
AY839636	EastAfrica
AY960137	WestAfrica
AY960138	WestAfrica
AY960139	WestAfrica
AY960140	EastAfrica
AY960141	-
AY960142	-
AY960143	-
AY960144	-
AY960145	-
AY960146	-
AY960147	-
AY960148	-
CQ753912	-
CQ753913	-
CQ754933	-
CQ754934	-
CQ867053	WestAfrica
CQ871192	WestAfrica
D14458	SouthAmerica2
DI100319	-
DI101079	-
DQ068260	-
DQ068261	-
DQ068262	-
DQ068263	-
DQ068264	-
DQ872411	SouthAmerica1
DQ872412	SouthAmerica2
EU303239	SouthAmerica1
FJ875515	SouthAmerica1
FJ875516	SouthAmerica1
FJ875517	SouthAmerica1
FJ875518	SouthAmerica1
FJ875519	SouthAmerica1
FJ875520	SouthAmerica1
GU073130	WestAfrica
GU073131	WestAfrica
GU073132	WestAfrica
GU073133	WestAfrica
GU073134	WestAfrica
GU073135	WestAfrica
GU073136	WestAfrica
GU073137	WestAfrica
GU073138	WestAfrica
GU073139	WestAfrica
GU073140	WestAfrica
GU073141	WestAfrica
GU073142	WestAfrica
GU073143	WestAfrica
GU073144	WestAfrica
GU073145	WestAfrica
GU073146	WestAfrica
GU073147	WestAfrica
GU073148	WestAfrica
GU073149	WestAfrica
GU073150	WestAfrica
GU073151	WestAfrica
GU073152	WestAfrica
GU073153	WestAfrica
GU073154	WestAfrica
GU073155	WestAfrica
GU073156	WestAfrica
GU073157	WestAfrica
GU073158	WestAfrica
GU073159	WestAfrica
GU073160	WestAfrica
GU073161	WestAfrica
GU073162	WestAfrica
GU073163	WestAfrica
GU073164	WestAfrica
GU073165	WestAfrica
GU073166	WestAfrica
GU951804	-
HM582839	SouthAmerica1
HM582840	SouthAmerica1
HM582841	SouthAmerica1
HM582842	SouthAmerica1
HM582843	SouthAmerica1
HM582844	SouthAmerica2
HM582845	SouthAmerica1
HM582846	SouthAmerica2
HM582847	SouthAmerica2
HM582848	SouthAmerica1
HM582849	SouthAmerica1
HM582850	WestAfrica
HQ123568	SouthAmerica1
HQ123569	SouthAmerica1
HQ123570	SouthAmerica1
HQ123571	SouthAmerica1
HQ123572	SouthAmerica1
HQ123573	SouthAmerica1
HQ123574	SouthAmerica1
HQ123575	SouthAmerica1
HW250534	WestAfrica
JA190478	-
JA190479	-
JB021956	WestAfrica
JB021957	WestAfrica
JB021958	-
JB021959	-
JB021960	-
JB021961	-
JX012097	-
JX012098	EastAfrica
JX012099	EastAfrica
JX012100	EastAfrica
JX012101	EastAfrica
JX012102	EastAfrica
JX012103	EastAfrica
KM031087	-
KM388819	SouthAmerica1
KM388820	SouthAmerica1
KM388821	SouthAmerica1
KM388822	SouthAmerica1
KM388823	SouthAmerica1
KX037022	SouthAmerica1
L02865	WestAfrica
L02866	WestAfrica
L06480	WestAfrica
LG065589	WestAfrica
LP967331	WestAfrica
LQ868217	-
LQ868218	-
LQ868219	-
LQ868220	-
LQ868221	-
LQ868222	-
LQ868223	-
LQ868224	-
LQ868225	-
LQ868226	-
LQ868233	-
LQ868234	-
LQ868235	-
LQ868236	-
LQ868237	-
LQ868238	-
LQ868239	-
LQ868240	-
LQ868241	-
LQ868242	-
LY720048	-
LY720056	-
MA989712	WestAfrica
MF443184	SouthAmerica1
MF443185	SouthAmerica1
MF443186	SouthAmerica1
MF443187	SouthAmerica1
MF580491	SouthAmerica1
MF580492	SouthAmerica1
MF987820	SouthAmerica1
MG757496	-
MG757497	-
MG838679	SouthAmerica1
MG838680	SouthAmerica1
MG838681	SouthAmerica1
MG838682	SouthAmerica1
MG838683	SouthAmerica1
MG838684	SouthAmerica1
MG838685	SouthAmerica1
MG838686	SouthAmerica1
MG838687	SouthAmerica1
MG838688	SouthAmerica1
MH001693	SouthAmerica1
MH001694	SouthAmerica1
MH001695	SouthAmerica1
MH015342	SouthAmerica1
MH015343	SouthAmerica1
MH015344	SouthAmerica1
MK457702	WestAfrica
MQ313559	-
MQ313562	-
MW508339	WestAfrica
MW508340	WestAfrica
MW508341	WestAfrica
MW508342	WestAfrica
MW508343	WestAfrica
MW508344	WestAfrica
OF120381	WestAfrica
OF375887	WestAfrica
OK572994	-
OK572995	-
OK572996	WestAfrica
OK572997	WestAfrica
OK572998	-
ON502422	SouthAmerica1
OP589291	SouthAmerica1
U23565	SouthAmerica2
U23566	SouthAmerica2
U23567	WestAfrica
U23568	WestAfrica
U23569	-
U23570	SouthAmerica1
U23571	EastAfrica
U23572	WestAfrica
U23573	EastAfrica
U23574	WestAfrica
U23575	-
U23576	EastAfrica
U23577	EastAfrica
U23578	EastAfrica
U23579	SouthAmerica1
U23580	SouthAmerica1
U52389	SouthAmerica1
U52391	SouthAmerica1
U52392	EastAfrica
U52394	EastAfrica
U52395	EastAfrica
U52397	-
U52398	SouthAmerica1
U52400	SouthAmerica1
U52401	-
U52402	-
U52403	WestAfrica
U52404	SouthAmerica1
U52406	-
U52408	-
U52409	-
U52410	SouthAmerica2
U52412	-
U52413	WestAfrica
U52414	-
U52415	WestAfrica
U52416	SouthAmerica1
U52418	SouthAmerica1
U52419	SouthAmerica2
U52421	-
U52422	EastAfrica
U52424	EastAfrica
X02807	-
